Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Golem,Acolyte Realm,Runic,Runic,,,,,19.35%,101026,Golem,Acolyte Realm  Runic    ,19.35%
Gorgon,Acolyte Realm,Runic,Runic,,,,,18.29%,95509,Gorgon,Acolyte Realm  Runic    ,18.29%
Spectre,Acolyte Realm,Runic,Runic,,,,,17.87%,93319,Spectre,Acolyte Realm  Runic    ,17.87%
Sorcerer,Acolyte Realm,Runic,Runic,,,,,16.31%,85183,Sorcerer,Acolyte Realm  Runic    ,16.31%
Acolyte,Acolyte Realm,Runic,Runic,,,,,8.26%,43125,Acolyte,Acolyte Realm  Runic    ,8.26%
Wight,Acolyte Realm,Runic,Runic,,,,,8.26%,43144,Wight,Acolyte Realm  Runic    ,8.26%
Lich,Acolyte Realm,Runic,Runic,,,,,8.24%,43023,Lich,Acolyte Realm  Runic    ,8.24%
Chrono,Acolyte Realm,Runic,Runic,,,,,1.98%,10318,Chrono,Acolyte Realm  Runic    ,1.98%
Gate Guardian,Acolyte Realm,Runic,Runic,,,,,1.45%,7567,Gate Guardian,Acolyte Realm  Runic    ,1.45%
Golem,Acolyte Realm,Ancient,Ancient,,,,,27.21%,17813,Golem,Acolyte Realm  Ancient    ,27.21%
Spectre,Acolyte Realm,Ancient,Ancient,,,,,24.58%,16092,Spectre,Acolyte Realm  Ancient    ,24.58%
Gorgon,Acolyte Realm,Ancient,Ancient,,,,,20.74%,13579,Gorgon,Acolyte Realm  Ancient    ,20.74%
Sorcerer,Acolyte Realm,Ancient,Ancient,,,,,18.88%,12356,Sorcerer,Acolyte Realm  Ancient    ,18.88%
Gate Guardian,Acolyte Realm,Ancient,Ancient,,,,,8.59%,5622,Gate Guardian,Acolyte Realm  Ancient    ,8.59%
Golem,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,31.98%,3949,Golem,Acolyte Realm  Radioactive Blue    ,31.98%
Gate Guardian,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,31.12%,3842,Gate Guardian,Acolyte Realm  Radioactive Blue    ,31.12%
Mutated Grey,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,14.68%,1812,Mutated Grey,Acolyte Realm  Radioactive Blue    ,14.68%
Mutated White,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,14.88%,1837,Mutated White,Acolyte Realm  Radioactive Blue    ,14.88%
Mutated Brown,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,7.05%,870.4986587,Mutated Brown,Acolyte Realm  Radioactive Blue    ,7.05%
Black Widow,Acolyte Realm,Radioactive Blue,Radioactive Blue,,,,,0.30%,37,Black Widow,Acolyte Realm  Radioactive Blue    ,0.30%
Brimstone,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,18.32%,27034,Brimstone,Balack's Cove - Low Tide  Vanilla Stilton    ,18.32%
Twisted Fiend,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,18.51%,27315,Twisted Fiend,Balack's Cove - Low Tide  Vanilla Stilton    ,18.51%
Davy Jones,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,18.46%,27246,Davy Jones,Balack's Cove - Low Tide  Vanilla Stilton    ,18.46%
Enslaved Spirit,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,15.69%,23153,Enslaved Spirit,Balack's Cove - Low Tide  Vanilla Stilton    ,15.69%
Nerg Lich,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,8.76%,12923,Nerg Lich,Balack's Cove - Low Tide  Vanilla Stilton    ,8.76%
Elub Lich,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,8.71%,12861,Elub Lich,Balack's Cove - Low Tide  Vanilla Stilton    ,8.71%
Derr Lich,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,8.69%,12829,Derr Lich,Balack's Cove - Low Tide  Vanilla Stilton    ,8.69%
Tidal Fisher,Balack's Cove - Low Tide,Vanilla Stilton,Vanilla Stilton,,,,,2.87%,4230,Tidal Fisher,Balack's Cove - Low Tide  Vanilla Stilton    ,2.87%
Enslaved Spirit,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,22.96%,15105,Enslaved Spirit,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,22.96%
Elub Lich,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,16.92%,11130,Elub Lich,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,16.92%
Nerg Lich,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,16.88%,11101,Nerg Lich,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,16.88%
Derr Lich,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,16.84%,11078,Derr Lich,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,16.84%
Balack the Banished,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,10.64%,6997,Balack the Banished,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,10.64%
Twisted Fiend,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,5.24%,3444,Twisted Fiend,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,5.24%
Brimstone,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,5.32%,3499,Brimstone,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,5.32%
Davy Jones,Balack's Cove - Low Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,5.21%,3425,Davy Jones,Balack's Cove - Low Tide  Vengeful Vanilla Stilton    ,5.21%
Riptide,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,22.44%,4241,Riptide,Balack's Cove - Mid Tide  Vanilla Stilton    ,22.44%
Enslaved Spirit,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,13.65%,2580,Enslaved Spirit,Balack's Cove - Mid Tide  Vanilla Stilton    ,13.65%
Twisted Fiend,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,14.00%,2647,Twisted Fiend,Balack's Cove - Mid Tide  Vanilla Stilton    ,14.00%
Davy Jones,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,14.10%,2665,Davy Jones,Balack's Cove - Mid Tide  Vanilla Stilton    ,14.10%
Brimstone,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,13.87%,2621,Brimstone,Balack's Cove - Mid Tide  Vanilla Stilton    ,13.87%
Derr Lich,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,7.38%,1395,Derr Lich,Balack's Cove - Mid Tide  Vanilla Stilton    ,7.38%
Nerg Lich,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,7.35%,1389,Nerg Lich,Balack's Cove - Mid Tide  Vanilla Stilton    ,7.35%
Elub Lich,Balack's Cove - Mid Tide,Vanilla Stilton,Vanilla Stilton,,,,,7.21%,1363,Elub Lich,Balack's Cove - Mid Tide  Vanilla Stilton    ,7.21%
Derr Lich,Balack's Cove - Mid Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,18.02%,2127,Derr Lich,Balack's Cove - Mid Tide  Vengeful Vanilla Stilton    ,18.02%
Nerg Lich,Balack's Cove - Mid Tide,Vengeful Vanilla Stilton,Vengeful Vanilla Stilton,,,,,18.30%,2159,Nerg Lich,Balack's Cove - Mid Tide  Vengeful Vanilla Stilton    ,18.30%
