Bristle Woods Rift,,Runic String Cheese,,10.45%,Skeletal Champion,102645
Bristle Woods Rift,,Magical String,,8.01%,Skeletal Champion,19945
Bristle Woods Rift,,Magical String,,9.14%,Portal Plunderer,19901
Bristle Woods Rift,,Brie String,,20.88%,Portal Plunderer,117518
Bristle Woods Rift,,Magical String,,17.49%,Sentient Slime,19966
Bristle Woods Rift,,Ancient String Cheese,,12.36%,Sentient Slime,54065
Bristle Woods Rift,,Brie String,,11.58%,Sentient Slime,117651
Bristle Woods Rift,,Brie String,,5.50%,Record Keeper's Assistant,117929
Bristle Woods Rift,,Magical String,,7.70%,Record Keeper's Assistant,20306
Bristle Woods Rift,,Magical String,,8.48%,Clockwork Timespinner,19890
Bristle Woods Rift,,Brie String,,24.99%,Clockwork Timespinner,117337
Bristle Woods Rift,,Runic String Cheese,,9.47%,Portal Paladin,102734
Bristle Woods Rift,,Brie String,,7.51%,Portal Paladin,117708
Bristle Woods Rift,,Ancient String Cheese,,9.07%,Portal Paladin,54093
Bristle Woods Rift,,Magical String,,11.67%,Portal Paladin,19996
Bristle Woods Rift,,Brie String,,6.27%,Record Keeper,117946
Bristle Woods Rift,,Magical String,,6.36%,Record Keeper,20294
Bristle Woods Rift,,Runic String Cheese,,13.80%,Dread Knight,102611
Bristle Woods Rift,,Magical String,,8.95%,Dread Knight,19940
Bristle Woods Rift,,Brie String,,7.78%,Dread Knight,117508
Bristle Woods Rift,,Ancient String Cheese,,3.69%,Epoch Golem,54406
Bristle Woods Rift,,Magical String,,18.34%,Epoch Golem,20330
Bristle Woods Rift,,Ancient String Cheese,,1.46%,Harbinger of Death,54205
Bristle Woods Rift,,Runic String Cheese,,1.83%,Harbinger of Death,102709
Bristle Woods Rift,,Ancient String Cheese,,17.42%,Timelost Thaumaturge,54460
Bristle Woods Rift,,Runic String Cheese,,4.73%,Timelost Thaumaturge,102917
Bristle Woods Rift,,Runic String Cheese,,4.17%,Vigilant Ward,102924
Bristle Woods Rift,,Ancient String Cheese,,13.94%,Vigilant Ward,54475
Bristle Woods Rift,,Ancient String Cheese,,13.48%,Shackled Servant,54439
Bristle Woods Rift,,Runic String Cheese,,2.86%,Shackled Servant,102914
Bristle Woods Rift,,Runic String Cheese,,2.45%,Timeslither Pythoness,102866
Bristle Woods Rift,,Ancient String Cheese,,6.89%,Timeslither Pythoness,54410
Bristle Woods Rift,,Runic String Cheese,,15.35%,Carrion Medium,102686
Bristle Woods Rift,,Magical String,,0.20%,Timeless Lich,20303
Bristle Woods Rift,,Runic String Cheese,,9.56%,Timeless Lich,102874
Bristle Woods Rift,,Runic String Cheese,,1.74%,Chamber Cleaver,101511
Bristle Woods Rift,,Magical String,,1.45%,Portal Pursuer,20212
Bristle Woods Rift,,Ancient String Cheese,,1.97%,Portal Pursuer,54030
Bristle Woods Rift,,Brie String,,2.13%,Portal Pursuer,116835
Bristle Woods Rift,,Runic String Cheese,,1.24%,Portal Pursuer,102621
Bristle Woods Rift,,Runic String Cheese,,10.49%,Chronomaster,102843
Bristle Woods Rift,,Runic String Cheese,,3.45%,Absolute Acolyte,102559
