Location,Phase,Cheese,Charm,Mouse,,,,,,,,,
Labyrinth,Intersection,Glowing Gruyere,-,Lost Legionnaire,43.31%,,,,,,,,
Labyrinth,Intersection,Glowing Gruyere,-,Lost,39.97%,,,,,,,,
Labyrinth,Intersection,Glowing Gruyere,-,Corridor Bruiser,16.72%,,,,,,,,
Labyrinth,Intersection,SB+/Gouda/Brie,-,Lost Legionnaire,39.67%,,,,,,,,
Labyrinth,Intersection,SB+/Gouda/Brie,-,Lost,35.41%,,,,,,,,
Labyrinth,Intersection,SB+/Gouda/Brie,-,Corridor Bruiser,13.84%,,,,,,,,
Labyrinth,Intersection,SB+/Gouda/Brie,-,Shadow Stalker,11.09%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Drudge,26.16%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Masked Pikeman,22.68%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Corridor Bruiser,17.89%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Lost Legionnaire,15.78%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Lost,15.58%,,,,,,,,
Labyrinth,Plain Fealty,Glowing Gruyere,-,Reanimated Carver,1.92%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Drudge,21.07%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Shadow Stalker,18.96%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Masked Pikeman,18.47%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Corridor Bruiser,14.78%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Lost Legionnaire,12.63%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Lost,12.37%,,,,,,,,
Labyrinth,Plain Fealty,SB+/Gouda/Brie,-,Reanimated Carver,1.71%,,,,,,,,
Labyrinth,Plain Tech,Glowing Gruyere,-,RR-8,26.94%,,,,,,,,
